latitude_deg,longitude_deg,acme_rssi_dbm,acme_bandwidth_kbps,acme_jitter_ms,atma_loss_percent,acme_rtt_ms,globex_bandwidth_kbps,globex_jitter_ms,globex_loss_percent,globex_rssi_dbm,globex_rtt_ms,octan_rssi_dbm,octan_bandwidth_kbps,octan_jitter_ms,rssi_loss_percent,octan_rtt_ms
45.45958658333333,-73.82274576666667,-53,,,,64.3,796,123.234,0,-29,64.0,-53,,,,63.0
45.45958658333333,-73.82274576666667,-53,792,79.297,0,68.1,792,123.292,0,-39,60.7,-53,795,61.342,0,64.0
45.45958658333333,-73.82274576666667,-53,,,,51.3,794,60.907,0,-39,66.2,-53,,,,57.2
45.45958658333333,-73.82274576666667,-53,790,78.599,0,80.0,,,,-39,59.7,-53,795,84.473,0,54.7
45.45958658333333,-73.82274576666667,-53,792,82.825,0,69.6,792,89.627,0,-39,64.3,-53,794,61.327,0,77.1
45.45958658333333,-73.82274576666667,-53,789,79.327,0,78.6,,,,-29,58.6,-53,796,84.567,0,72.7
45.45958658333333,-73.82274576666667,-53,,,,69.2,791,60.884,0,-41,68.0,-53,,,,84.0
45.45958658333333,-73.82274576666667,-53,790,79.258,0,54.5,793,115.593,0,-41,62.3,-53,798,61.581,0,62.3
45.45958658333333,-73.82274576666667,-53,792,61.639,0,71.0,796,60.661,0,-31,61.0,-53,,,,72.1
45.45958658333333,-73.82274576666667,-53,,,,67.9,796,61.281,0,-31,61.6,-53,791,61.346,0,73.7
45.45958658333333,-73.82274576666667,-53,795,84.127,0,64.9,,,,-31,59.9,-53,798,61.260,0,74.9
45.45958658333333,-73.82274576666667,-53,791,78.887,0,72.8,788,131.599,0,-31,60.7,-53,794,84.125,0,59.8
45.45958658333333,-73.82274576666667,-53,,,,65.9,,,,-37,66.2,-53,,,,78.2
45.45958658333333,-73.82274576666667,-53,793,116.107,0,66.4,798,60.759,0,-37,66.4,-53,791,78.889,0,74.0
45.45958658333333,-73.82274576666667,-53,789,79.258,0,62.0,,,,-37,61.1,-53,797,84.118,0,81.1
45.45958658333333,-73.82274576666667,-53,796,84.649,0,66.6,794,123.290,0,-37,72.3,-53,790,79.510,0,69.8
45.45958658333333,-73.82274576666667,-53,798,84.056,0,73.0,792,60.745,0,-37,58.3,-53,798,89.665,0,63.7
45.45958658333333,-73.82274576666667,-53,,,,59.5,,,,-37,59.6,-53,,,,67.8
45.45958658333333,-73.82274576666667,-53,,,,60.6,,,,-37,57.5,-53,794,116.165,0,60.9
45.45958658333333,-73.82274576666667,-53,790,78.920,0,77.7,798,131.458,0,-37,61.0,-53,,,,69.1
45.45958658333333,-73.82274576666667,-53,,,,74.5,,,,-31,60.7,-53,794,61.301,0,62.1
45.45958658333333,-73.82274576666667,-53,795,84.098,0,70.3,,,,-40,58.2,-53,790,78.889,0,59.8
45.45958658333333,-73.82274576666667,-53,,,,54.7,792,123.187,0,-40,66.7,-53,,,,57.8
45.45958658333333,-73.82274576666667,-53,797,116.765,0,74.9,793,60.646,0,-40,60.1,-53,789,84.182,0,62.2
45.45958658333333,-73.82274576666667,-53,798,69.621,0,67.3,,,,-40,68.9,-53,796,61.308,0,64.0
45.45958658333333,-73.82274576666667,-53,792,78.834,0,65.2,793,123.446,0,-40,64.5,-53,790,79.334,0,68.6
45.45958658333333,-73.82274576666667,-53,,,,67.0,,,,-28,59.6,-53,789,78.925,0,57.9
45.45958658333333,-73.82274576666667,-53,796,84.285,0,70.2,799,60.797,0,-28,66.2,-53,,,,72.4
45.45958658333333,-73.82274576666667,-53,,,,71.2,788,60.725,0,-40,81.9,-53,789,108.936,0,79.2
45.45958658333333,-73.82274576666667,-53,790,79.287,0,74.3,,,,-40,60.6,-53,,,,69.8
45.45958658333333,-73.82274576666667,-59,796,84.588,0,66.7,796,79.264,0,-40,60.8,-53,794,61.587,0,65.9
45.45958658333333,-73.82274576666667,-59,,,,63.2,792,64.964,0,-40,79.1,-53,,,,62.4
45.45958658333333,-73.82274576666667,-59,789,84.130,0,71.9,791,60.696,0,-40,60.0,-53,795,61.299,0,51.4
45.45958658333333,-73.82274576666667,-59,,,,56.3,797,61.189,0,-40,68.4,-53,,,,70.8
45.45958658333333,-73.82274576666667,-59,791,108.987,0,56.6,,,,-40,65.8,-53,797,61.285,0,74.0
45.45958658333333,-73.82274576666667,-51,797,84.108,0,53.2,792,123.166,0,-40,65.5,-53,,,,68.8
45.45958658333333,-73.82274576666667,-51,794,84.559,0,48.9,,,,-40,59.8,-53,794,61.354,0,60.2
45.45958658333333,-73.82274576666667,-51,,,,58.3,797,64.992,0,-40,58.3,-53,796,61.331,0,73.6
45.45958658333333,-73.82274576666667,-60,796,84.055,0,51.9,790,60.815,0,-40,72.4,-53,,,,74.0
45.45958658333333,-73.82274576666667,-60,,,,67.6,792,60.837,0,-32,58.5,-53,,,,70.9
45.45958658333333,-73.82274576666667,-60,796,84.484,0,59.0,796,60.893,0,-32,75.9,-53,795,79.304,0,55.4
45.45958658333333,-73.82274576666667,-60,798,84.279,0,89.2,,,,-32,66.2,-53,796,61.288,0,75.8
45.45958658333333,-73.82274576666667,-54,797,84.488,0,66.2,797,123.244,0,-32,69.0,-53,795,84.098,0,54.6
45.45958658333333,-73.82274576666667,-54,,,,77.4,,,,-32,60.7,-53,794,61.651,0,63.2
45.45958658333333,-73.82274576666667,-60,,,,61.3,798,123.193,0,-41,81.5,-53,798,89.682,0,50.3
45.45958658333333,-73.82274576666667,-60,789,90.333,0,61.8,797,90.127,0,-41,58.4,-53,,,,62.5
45.45958658333333,-73.82274576666667,-60,796,84.082,0,55.2,798,60.803,0,-41,72.7,-53,799,61.575,0,55.1
45.45958658333333,-73.82274576666667,-60,,,,55.7,,,,-41,57.9,-53,,,,67.4
45.45958658333333,-73.82274576666667,-60,797,84.528,0,69.2,792,60.790,0,-41,70.3,-53,799,61.257,0,62.8
45.45958658333333,-73.82274576666667,-60,,,,76.0,,,,-41,60.1,-53,789,61.356,0,68.4
45.45958658333333,-73.82274576666667,-60,798,84.493,0,70.4,798,60.853,0,-41,65.6,-53,794,74.333,0,53.0
45.45958658333333,-73.82274576666667,-60,789,78.845,0,61.6,789,61.397,0,-41,73.1,-53,791,108.872,0,73.0
45.45958658333333,-73.82274576666667,-60,796,84.087,0,55.4,798,131.464,0,-41,59.7,-53,792,103.359,0,50.3
